year,textblob,GDPpc,life_expectancy,Democrat,Republican,z_GDPpc,z_life_expectancy,z_textblob,text_per_year,year-20,year-19,year-18,year-17,year-16,year-15,year-14,year-13,year-12,year-11,year-10,year-9,year-8,year-7,year-6,year-5,year-4,year-3,year-2,year-1,year0,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,GDPpc-20,GDPpc-19,GDPpc-18,GDPpc-17,GDPpc-16,GDPpc-15,GDPpc-14,GDPpc-13,GDPpc-12,GDPpc-11,GDPpc-10,GDPpc-9,GDPpc-8,GDPpc-7,GDPpc-6,GDPpc-5,GDPpc-4,GDPpc-3,GDPpc-2,GDPpc-1,GDPpc0,GDPpc1,GDPpc2,GDPpc3,GDPpc4,GDPpc5,GDPpc6,GDPpc7,GDPpc8,GDPpc9,GDPpc10,GDPpc11,GDPpc12,GDPpc13,GDPpc14,GDPpc15,GDPpc16,GDPpc17,GDPpc18,GDPpc19,GDPpc20,life_expectancy-20,life_expectancy-19,life_expectancy-18,life_expectancy-17,life_expectancy-16,life_expectancy-15,life_expectancy-14,life_expectancy-13,life_expectancy-12,life_expectancy-11,life_expectancy-10,life_expectancy-9,life_expectancy-8,life_expectancy-7,life_expectancy-6,life_expectancy-5,life_expectancy-4,life_expectancy-3,life_expectancy-2,life_expectancy-1,life_expectancy0,life_expectancy1,life_expectancy2,life_expectancy3,life_expectancy4,life_expectancy5,life_expectancy6,life_expectancy7,life_expectancy8,life_expectancy9,life_expectancy10,life_expectancy11,life_expectancy12,life_expectancy13,life_expectancy14,life_expectancy15,life_expectancy16,life_expectancy17,life_expectancy18,life_expectancy19,life_expectancy20,Democrat-20,Democrat-19,Democrat-18,Democrat-17,Democrat-16,Democrat-15,Democrat-14,Democrat-13,Democrat-12,Democrat-11,Democrat-10,Democrat-9,Democrat-8,Democrat-7,Democrat-6,Democrat-5,Democrat-4,Democrat-3,Democrat-2,Democrat-1,Democrat0,Democrat1,Democrat2,Democrat3,Democrat4,Democrat5,Democrat6,Democrat7,Democrat8,Democrat9,Democrat10,Democrat11,Democrat12,Democrat13,Democrat14,Democrat15,Democrat16,Democrat17,Democrat18,Democrat19,Democrat20,Republican-20,Republican-19,Republican-18,Republican-17,Republican-16,Republican-15,Republican-14,Republican-13,Republican-12,Republican-11,Republican-10,Republican-9,Republican-8,Republican-7,Republican-6,Republican-5,Republican-4,Republican-3,Republican-2,Republican-1,Republican0,Republican1,Republican2,Republican3,Republican4,Republican5,Republican6,Republican7,Republican8,Republican9,Republican10,Republican11,Republican12,Republican13,Republican14,Republican15,Republican16,Republican17,Republican18,Republican19,Republican20
1928,0.0402151491495754,11451.069,58.3,0.0,1.0,-3.39530323801346,-6.659606621430265,-0.4877533642615342,1,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929.0,1930.0,1931.0,1932.0,1933.0,1934.0,1935.0,1936.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,8975.9761,9798.1182,9636.783,9735.889,9976.567,10107.969,9096.372,9164.177,10222.32,9769.078,10471.306,10449.78,10152.927,9674.88,10009.715,11071.243,11126.713,11149.772,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,51.9,52.8,51.8,53.4,54.1,53.5,54.6,55.1,54.2,54.0,47.2,55.3,55.4,58.2,58.1,57.5,58.5,58.5,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1933,0.1011277711263146,8048.225,60.88,1.0,0.0,-3.776070489463919,-5.70413064510897,0.3631214399365199,1,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934.0,1935.0,1936.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,10107.969,9096.372,9164.177,10222.32,9769.078,10471.306,10449.78,10152.927,9674.88,10009.715,11071.243,11126.713,11149.772,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,53.5,54.6,55.1,54.2,54.0,47.2,55.3,55.4,58.2,58.1,57.5,58.5,58.5,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1939,0.126217199461164,11171.448,63.07,1.0,0.0,-3.426591924658464,-4.89308708381299,0.7135900575903161,1,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,10449.78,10152.927,9674.88,10009.715,11071.243,11126.713,11149.772,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,55.3,55.4,58.2,58.1,57.5,58.5,58.5,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1940,0.1715659803246942,12005.095,63.23,1.0,0.0,-3.3333095182742976,-4.8338327597000434,1.347057043342657,1,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,10152.927,9674.88,10009.715,11071.243,11126.713,11149.772,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,18057.0,55.4,58.2,58.1,57.5,58.5,58.5,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,69.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1941,0.1232128434468212,13553.402,63.8,1.0,0.0,-3.160058966444268,-4.622739230047665,0.6716228798119344,1,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,9674.88,10009.715,11071.243,11126.713,11149.772,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,18057.0,18175.0,58.2,58.1,57.5,58.5,58.5,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,69.8,70.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1943,0.1577845429825367,16050.217,64.3,1.0,0.0,-2.880673433363623,-4.437569467194701,1.1545472248594857,1,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,11071.243,11126.713,11149.772,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,18057.0,18175.0,18976.0,19514.0,57.5,58.5,58.5,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,69.8,70.2,70.1,69.9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1944,0.0731752641866511,16999.327,65.09,1.0,0.0,-2.774471090257637,-4.145001241887016,-0.0273408829333342,1,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,11126.713,11149.772,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,18057.0,18175.0,18976.0,19514.0,20360.0,58.5,58.5,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,69.8,70.2,70.1,69.9,70.2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1946,0.1306619296933437,14822.4665,66.28,1.0,0.0,-3.018054748331904,-3.704297206296963,0.77567750093602,1,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,11647.768,11532.398,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,18057.0,18175.0,18976.0,19514.0,20360.0,21390.0,22529.0,57.9,59.4,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,69.8,70.2,70.1,69.9,70.2,70.2,70.2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,0.0934772361014065,14734.232,67.25,1.0,0.0,-3.027927903859488,-3.345067866362214,0.2562528258450936,1,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,11451.069,11954.235,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,18057.0,18175.0,18976.0,19514.0,20360.0,21390.0,22529.0,22842.0,23691.0,58.3,58.5,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,69.8,70.2,70.1,69.9,70.2,70.2,70.2,70.5,70.2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.1147682884478049,15240.0,68.1,1.0,0.0,-2.971334098433322,-3.030279269512178,0.5536627781425053,1,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,10694.982,9930.963,8380.504,8048.225,8667.092,9680.839,10568.012,11295.099,10526.134,11171.448,12005.095,13553.402,14869.861,16050.217,16999.327,16477.552,14822.4665,14311.5472,14734.232,14196.672,15240.0,16125.0,16444.0,16917.0,16512.0,17370.0,17397.0,17406.0,16946.0,17900.0,18057.0,18175.0,18976.0,19514.0,20360.0,21390.0,22529.0,22842.0,23691.0,24195.0,23958.0,59.6,60.3,61.0,60.88,60.23,60.89,60.35,61.05,62.39,63.07,63.23,63.8,64.59,64.3,65.09,65.58,66.28,66.69,67.25,67.63,68.1,68.2,68.4,68.7,69.5,69.5,69.6,69.4,69.7,69.9,69.8,70.2,70.1,69.9,70.2,70.2,70.2,70.5,70.2,70.5,70.7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
