ccode,country name,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
4.0,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.0,1170.0,1189.0,1240.0,1245.0,1246.0,1278.0,1253.0,1298.0,1307.0,1326.0,1309.0,1302.0,1298.0,1291.0,1290.0,1272.0,1277.0,1290.0,1278.0,1272.0,1237.0,1007.0,1011.0,1039.0,1074.0,1105.0,1022.0,1070.0,1023.0,1019.0,1144.0,1270.0,1347.0,1337.0,1304.0,1344.0,1211.0,1101.0,999.0,963.0,881.1704,843.8753,578.4027,428.4246,632.9404,600.1753,570.5981,545.0388,518.6579,502.3727,489.682,796.8166,842.8052,869.0393,964.4081,1057.0966,1259.9967,1319.6074,1557.3206,1627.6716,1792.0,1945.0,2025.0,2022.0,1928.0,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0,,,,,,,,,,,,,,,,,,,,953.0,,,,,,,,,,1092.0,,,,,,,,,,1243.0,,,1293.0,,,,,,,,,,,,,,,,1476.0,,,,,,,,,,,,,,,,,,,,,1596.0,1666.0,1667.0,1736.0,1785.0,1882.0,1902.0,2023.0,2114.0,2201.0,2313.0,2332.0,2409.0,2491.0,2576.0,2670.0,2770.0,2876.0,2979.0,3080.0,3194.0,3322.0,3451.0,3623.0,3637.0,3649.0,3665.0,3681.0,3696.0,3716.0,3741.0,3762.0,3783.0,3805.0,3826.0,3846.0,3870.0,3894.0,3920.0,3948.0,3983.0,2942.1006,2841.7652,3137.0239,3399.7102,3666.6506,3965.6853,3526.9856,3873.3732,4432.0426,4808.4796,5285.8091,5608.9623,6004.6452,6419.8704,6858.467,7347.3301,7866.1577,8522.1298,8859.4716,9222.9728,9484.0,9592.0,9660.0,9808.0,10032.0,10342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.0,2147.0,2193.0,2182.0,2291.0,2303.0,2475.0,2699.0,2740.0,3178.0,3328.0,2868.0,2284.0,2818.0,2879.0,2981.0,2750.0,2907.0,3151.0,3355.0,3585.0,3188.0,3746.0,3757.0,3870.0,4020.0,4157.0,4398.0,4812.0,5088.0,5024.0,4991.0,5145.0,5243.0,5361.0,5469.0,5262.0,5088.0,4850.0,4889.0,4697.0,4708.2319,4850.2233,4816.9236,4856.9854,5142.384,5451.6344,5638.4802,6069.7773,6421.5085,6834.5539,7218.2458,7814.8382,8590.1775,9182.2942,9969.6226,10385.7791,10974.7423,11475.0024,11907.0215,12587.7443,13204.0,13379.0,13494.0,13744.0,14004.0,14331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.0,1715.0,1755.0,1795.0,1720.0,1830.0,1769.0,1908.0,1978.0,1953.0,1997.0,2225.0,2128.0,2200.0,2407.0,2544.0,2646.0,2753.0,2665.0,2695.0,2818.0,2754.0,2729.0,2852.0,2727.0,1710.0,1521.0,1500.0,1530.0,1527.0,1532.0,1471.0,1374.0,1288.0,1259.0,1242.0,1106.0,1211.0,1360.0,1360.0,1384.0,1437.1472,1389.3295,1080.4806,1120.8482,1319.1589,1533.9839,1687.3178,1811.1681,1899.4152,2013.6362,2162.485,2522.6719,2711.9283,3064.2987,3708.7706,4592.3373,5773.5483,6743.7482,7087.6041,7520.6658,8016.0,8190.0,8508.0,8673.0,8689.0,8453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.0,,,,,,,,,,,,,,,,,,,,1591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,,,,,,,,,,2160.0,,,,,,,,,,2340.0,,,,,2606.0,2611.0,2820.0,2619.0,2664.0,2557.0,2541.0,3108.0,3373.0,3486.0,3904.0,3771.0,3841.0,4219.0,4288.0,3851.0,3631.0,4251.0,4409.0,4968.0,5384.0,5716.0,4500.0,4741.0,5412.0,4583.0,4591.0,4331.0,4769.0,5086.0,5545.0,5608.0,5514.0,5829.0,5896.0,6092.0,5971.0,6223.0,6052.0,5263.0,5171.0,4927.0,4447.0,5177.0,5271.0,5536.0,5533.0,5796.0,6213.0,6464.0,6247.0,6366.0,6625.0,6840.0,6961.0,6503.0,5917.0,5614.0,5772.0,6129.0,6296.0,6236.0,6575.0,6491.0,6612.0,6633.0,6861.0,6829.0,6666.0,7299.0,6943.0,7436.0,8112.0,8372.0,8045.0,7949.0,8086.0,7519.0,7769.0,7938.0,8348.0,8424.0,8705.0,9083.0,8354.0,8861.0,9344.0,9049.0,8695.0,9446.0,10155.0,10076.0,10200.0,10485.0,11217.0,11639.0,12003.0,12170.0,12691.0,13284.0,12946.0,12696.0,13236.0,12444.0,13114.0,13080.0,12125.0,11550.0,11775.0,11837.0,10895.0,11515.0,11633.0,11244.0,10393.0,10254.0,11223.9846,12267.0836,12926.7947,13571.3794,13086.0365,13715.2268,14722.6459,15185.9587,14577.8323,14368.9427,13651.981,12094.7728,13088.565,14183.2251,15344.1571,16490.4736,17891.9434,18520.3041,17328.9758,18979.9917,20003.0,19599.0,19873.0,19183.0,19502.0,18875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9806.0,,,,,,,9291.0,9548.0,9809.0,9865.0,10181.0,10485.0,10394.0,9789.0,9301.0,10525.0,9669.0,8141.6711,4699.611,4130.1472,4392.9799,4703.1307,4811.4895,4836.0442,4994.053,5000.4524,5139.8255,5457.5101,6082.1462,6743.241,7229.6482,8006.9604,8798.7502,9713.2133,10080.8128,8399.0869,8330.8112,8465.0,9077.0,9385.0,9735.0,10042.0,10080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.0,834.0,858.0,886.0,936.0,982.0,999.0,1030.0,1057.0,1114.0,1352.0,1398.0,1428.0,1435.0,1508.0,1825.0,1793.0,1881.0,1857.0,1733.0,2190.0,1868.0,1704.0,1975.0,2246.0,2310.0,2554.0,2954.0,3381.0,3339.0,3148.0,3736.0,4382.0,4798.0,4202.0,3988.0,4866.0,4294.0,3661.0,4728.0,4613.0,4544.0,4368.0,4352.0,4616.0,4403.0,4532.0,4956.0,5031.0,4932.0,5217.0,5259.0,5663.0,6095.0,6113.0,6596.0,6387.0,6433.0,6817.0,6703.0,6830.0,7101.0,6476.0,7133.0,6861.0,7049.0,6900.0,7383.0,7179.0,7567.0,7106.0,7438.0,6368.0,5910.0,6003.0,5558.0,5874.0,5451.0,6202.0,6121.0,6397.0,6119.0,6094.0,6497.0,6846.0,6825.0,7184.0,7358.0,7481.0,7940.0,8305.0,8136.0,8126.0,8220.0,8013.0,7806.0,7775.0,7637.0,7336.0,7517.0,7597.0,7828.0,8072.0,8276.0,8635.0,8851.0,8883.0,8837.0,8690.0,8389.0,7504.0,6940.0,7275.0,7718.0,8066.0,8477.0,8792.0,9159.0,9382.0,9318.0,9828.0,10820.0,11963.0,12278.0,11735.0,11026.0,10512.0,10622.0,11105.0,11536.0,11815.0,11966.0,11824.0,11963.0,12419.0,12795.0,12924.0,12895.0,13238.0,13753.0,14013.0,13793.0,14389.0,14983.0,15699.0,16182.0,16324.0,17108.0,17770.0,18428.0,19166.0,19590.0,19772.0,20527.0,20698.0,20993.0,21613.0,21592.0,21948.0,22826.0,22972.0,23368.0,22972.0,22697.0,24009.0,24927.0,25116.0,25971.0,26702.0,27407.0,27373.0,26861.275,27560.1783,28622.4758,29844.1713,30690.0624,31740.4697,32857.9938,34337.1394,35551.0195,36603.045,37275.9912,38567.0655,39523.6552,40887.7253,41904.4459,42650.9859,44033.5838,44421.6405,44686.5414,45400.2234,46132.0,46999.0,47250.0,47867.0,48357.0,48845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941.0,,,,,,,,,,2230.0,,,,,,,,,,2415.0,,,,,,,,,,2630.0,,,,,,,,,,2834.0,,,,,,,,,,2970.0,3154.0,3150.0,3049.0,3158.0,3145.0,3188.0,3268.0,3347.0,3296.0,3314.0,3419.0,3411.0,3521.0,3583.0,3531.0,3615.0,3832.0,3792.0,3725.0,3894.0,3995.0,4041.0,4025.0,4216.0,4285.0,4305.0,4352.0,4551.0,4600.0,4594.0,4565.0,4694.0,4688.0,4712.0,4925.0,5062.0,5321.0,5292.0,5222.0,5244.0,5364.0,5587.0,5523.0,4584.0,4229.0,4189.0,4122.0,4073.0,3601.0,3845.0,4224.0,4586.0,4530.0,5042.0,5367.0,5440.0,5587.0,5829.0,5896.0,5716.0,5241.0,4686.0,4516.0,4546.0,4634.0,4774.0,5031.0,5673.0,6529.0,6311.0,6722.0,6349.0,6480.0,6618.0,2750.0,3118.0,3453.0,4406.0,5249.0,5907.0,6311.0,6323.0,6594.0,7261.0,8054.0,8603.0,9111.0,9416.0,9645.0,10391.0,10882.0,11078.0,11454.0,12062.0,12328.0,12930.0,13225.0,13742.0,14555.0,15537.0,16259.0,17169.0,17908.0,18583.0,18564.0,19448.0,20350.0,20293.0,21436.0,21932.0,21866.0,22254.0,22944.0,23016.0,23514.0,24039.0,24409.0,25112.0,26078.0,26930.0,27689.7713,28072.4403,28101.2286,28780.7604,29621.6819,30413.1567,31173.0488,32376.3295,33608.2965,34796.2595,35272.224,35823.5874,36063.1205,36957.1122,37642.7622,38866.8493,40305.2743,40964.7934,39463.657,40288.3493,41446.0,41565.0,41375.0,41338.0,41294.0,41445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,,,,,,,7165.0,7490.0,7831.0,8010.0,8360.0,8558.0,8663.0,8995.0,9328.0,8421.0,7394.0,7319.1365,5638.9979,4315.3567,3453.3638,2999.319,3074.2197,3347.6126,3550.3641,3959.7815,4214.8889,4498.7944,4880.3999,5408.523,5971.4746,7553.6264,10160.346,12699.4978,14072.6266,15384.293,16153.8366,16176.0,16359.0,17133.0,17439.0,17460.0,16645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
