rating,review,displayName,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,score,timeFromCreation,user.displayName,user.accountLink,user.realm,user.userId,displayImageUrl
4.5,"Movie definitely is one of the greatest films of the decade, and it doesn't surprise me how much of a hit it was. However, I feel like the only problem with it was that the movie was a little too stretched out, when the whole movie could've been only twenty minutes shorter.",Lucas T,False,False,False,False,4.5,14h ago,Lucas T,/user/id/Google_108444618793414541969,RT,Google_108444618793414541969,
2.0,"Like the score that crescendoes throughout, this movie is overwrought. And for that reason, pretty, but empty.",Jeremy W,False,False,False,False,2.0,21h ago,Jeremy W,/user/id/Google_101006632088488888038,RT,Google_101006632088488888038,
4.0,So much like star wars and Lord of the rings makes this movie just amazing,Rogue 5,False,False,False,False,4.0,2d ago,Rogue 5,/user/id/Google_105060357636715558252,RT,Google_105060357636715558252,
5.0,"The best movie score ever composed! With the best editing ever done in a movie! Plus, the best cinematography ever done in a movie! Also, the best production design ever made in a movie! Not to mention the best sound mixing ever done in a movie! As well as the best sound editing ever done in a movie! And the best visual effects ever made in a movie!",Thomas M,False,False,False,False,5.0,2d ago,Thomas M,/user/id/Google_101266061536182697814,RT,Google_101266061536182697814,
4.5,"If you like science fiction films, this is pretty much a must see. It is a very good film (in two parts, this being the first half), which I think I appreciated more the second time I watched it. This is a major blockbuster, but I still feel for the original from 1984 which affects my judgement on this later version. A well-acted well designed film.",Mark M,False,False,False,False,4.5,2d ago,Mark M,/user/id/47492bd8-3b65-4198-a05f-3af9114fb780,RT,47492bd8-3b65-4198-a05f-3af9114fb780,
4.0,"I'm not usually a fan of slow dramas, but this one builds a world and builds to the conflict with competency. It's beautiful and well done. I'm not even a fan of the books or previous movie, but this was very well done.",Wes E,False,False,False,False,4.0,3d ago,Wes E,/user/id/Google_106411773945104703467,RT,Google_106411773945104703467,
5.0,Just watch it. Your only disappointment will be when you realize how long of a wait you have until the next movie in the series.,Mark S,False,False,False,False,5.0,3d ago,Mark S,/user/id/Google_102871980554174002632,RT,Google_102871980554174002632,
2.5,"I like this movie, but I feel like a person who need more because I want to see more Zendaya she don't show up enough and this make me sad because I love her and admire",RIQUELME DE JESUS S,False,False,False,False,2.5,3d ago,RIQUELME DE JESUS S,/user/id/Google_114013444791739739838,RT,Google_114013444791739739838,
4.5,"So here we are with another attempt to make a feature length film of Frank Herbert's Dune, one of the biggest sci-fi novels that has left massive impact on the genre. 
This time it's in the hands of Denis Villeneuve, who took a brave move by making this Dune the first part of the book before Part 2 even been given the go ahead.
My personal opinion is ""Dune"" is glorious from the sound design & to the visuals which are immense. The Hans Zimmer score is great & the score for The House Atreides landing on Arrakis is brilliant & grabs you when the bagpipes kicks in during the battle.",Darren D,False,False,False,False,4.5,3d ago,Darren D,/user/id/421772ee-3c28-48f8-8d2a-a592b0a65506,RT,421772ee-3c28-48f8-8d2a-a592b0a65506,
4.5,Nice adaptation by Denis Villeneuve accompanied great cinematography. Nicely done!,UsaAccount Y,False,False,False,False,4.5,4d ago,UsaAccount Y,/user/id/Google_104203696363847124867,RT,Google_104203696363847124867,
4.5,"Very Good, one of the Best Movies of 2022.  Great Acting, Great Characters, Amazing graphics and CGI work.  Fighting scenes were spectacular, war scenes were BIG SCREEN, and the Lore and World creation was brilliant. Bravo. Fully NON Woke as well!!!  Cheers to that.",Nate S,False,False,False,False,4.5,4d ago,Nate S,/user/id/Google_115203055924347617244,RT,Google_115203055924347617244,
0.5,"This movie is an eternal waiting for something that never arrives, very frustrating...",Danilo C,False,False,False,False,0.5,5d ago,Danilo C,/user/id/59e3988b-8c3e-4439-be2f-8d51433f2900,RT,59e3988b-8c3e-4439-be2f-8d51433f2900,
5.0,Masterpiece in every aspect. A perfect movie.,Ezequiel O,False,False,False,False,5.0,"Nov 20, 2022",Ezequiel O,/user/id/Google_111214962591068701267,RT,Google_111214962591068701267,
5.0,Great adaptation of the most epic science fiction book ever written!!,G R,False,False,False,False,5.0,"Nov 16, 2022",G R,/user/id/Google_111876256613807753485,RT,Google_111876256613807753485,
4.5,"might be too long honestly, but it's still a banger.",C4M37ON ,False,False,False,False,4.5,"Nov 16, 2022",C4M37ON ,/user/id/Google_103932985846664229296,RT,Google_103932985846664229296,
