,movies,year
0,visitorthe_dialog.txt,2007
1,cryinggame_dialog.txt,1992
2,croodsthe_dialog.txt,2020
3,lakeplacid_dialog.txt,1999
4,laboroflove_dialog.txt,1998
5,jacketthe_dialog.txt,1987
6,swingers_dialog.txt,1996
7,trainspotting_dialog.txt,1996
8,crowthe_dialog.txt,2018
9,fantasticmrfox_dialog.txt,2009
10,conanthebarbarian_dialog.txt,1982
11,knockedup_dialog.txt,2007
12,codeofsilence_dialog.txt,1985
13,arthur_dialog.txt,1981
14,amelia_dialog.txt,2001
15,walktoremembera_dialog.txt,2002
16,danceswithwolves_dialog.txt,1990
17,assignmentthe_dialog.txt,2016
18,frenchconnectionthe_dialog.txt,1971
19,klute_dialog.txt,1971
20,lastboyscoutthe_dialog.txt,1991
21,fridaythe13th_dialog.txt,1980
22,driveangry_dialog.txt,2011
23,curiouscaseofbenjaminbuttonthe_dialog.txt,2008
24,crank_dialog.txt,2006
25,boogienights_dialog.txt,1997
26,rocknrolla_dialog.txt,2008
27,startrekgenerations_dialog.txt,1994
28,hebrewhammerthe_dialog.txt,2003
29,freaked_dialog.txt,1993
30,whitejazz_dialog.txt,1992
31,ninesthe_dialog.txt,2021
32,lostinspace_dialog.txt,1998
33,millerscrossing_dialog.txt,1990
34,independenceday_dialog.txt,1996
35,sisteract_dialog.txt,1992
36,10thingsihateaboutyou_dialog.txt,1999
37,prideandprejudice_dialog.txt,1940
38,underfire_dialog.txt,2016
39,thisis40_dialog.txt,2012
40,shakespeareinlove_dialog.txt,1998
41,wagthedog_dialog.txt,1997
42,breakdown_dialog.txt,1997
43,rustandbone_dialog.txt,2012
44,sdarko_dialog.txt,2009
45,lincoln_dialog.txt,2012
46,greenmilethe_dialog.txt,1999
47,jurassicparkiii_dialog.txt,1993
48,postmanthe_dialog.txt,1997
49,supergirl_dialog.txt,1984
50,threekings_dialog.txt,1999
51,americanhistoryx_dialog.txt,1998
52,aladdin_dialog.txt,2019
53,pianothe_dialog.txt,1993
54,existenz_dialog.txt,1999
55,interviewwiththevampire_dialog.txt,1994
56,ghost_dialog.txt,1990
57,godfather_dialog.txt,1972
58,castaway_dialog.txt,1986
59,theragecarrie2_dialog.txt,1999
60,matrixthe_dialog.txt,1999
61,excalibur_dialog.txt,1981
62,vforvendetta_dialog.txt,2005
63,ordinarypeople_dialog.txt,1980
64,americanthe_dialog.txt,1999
65,bourneultimatumthe_dialog.txt,2007
66,darkcity_dialog.txt,1998
67,tron_dialog.txt,2010
68,powerofonethe_dialog.txt,1992
69,shiningthe_dialog.txt,1980
70,majesticthethebijou_dialog.txt,1999
71,sphere_dialog.txt,1998
72,lordofillusions_dialog.txt,1995
73,grapesofwraththe_dialog.txt,1940
74,smashed_dialog.txt,2012
75,brucealmighty_dialog.txt,2003
76,bodiesrestmotion_dialog.txt,1993
77,killbillvolume12_dialog.txt,2010
78,buffythevampireslayer_dialog.txt,1992
79,manonfire_dialog.txt,2004
80,case39_dialog.txt,2009
81,damnedunitedthe_dialog.txt,2009
82,reservoirdogs_dialog.txt,1992
83,annakarenina_dialog.txt,2012
84,nextthreedaysthe_dialog.txt,2010
85,savingmrbanks_dialog.txt,2013
86,terminatorsalvation_dialog.txt,2009
87,americangraffiti_dialog.txt,1973
88,ironladythe_dialog.txt,2011
89,coolerthe_dialog.txt,2003
90,inthebedroom_dialog.txt,2001
91,losersthe_dialog.txt,2010
92,prometheus_dialog.txt,2012
93,angelsdemons_dialog.txt,2009
94,rearwindow_dialog.txt,1954
95,twins_dialog.txt,1988
96,talentedmrripleythe_dialog.txt,1999
97,anastasia_dialog.txt,1997
98,capote_dialog.txt,2005
99,godsandmonsters_dialog.txt,1998
100,12andholding_dialog.txt,2005
101,fatalinstinct_dialog.txt,1993
102,fabulousbakerboysthe_dialog.txt,1989
103,arcade_dialog.txt,2015
104,suspectzero_dialog.txt,2004
105,cobb_dialog.txt,1994
106,malibusmostwanted_dialog.txt,2003
107,jimmyandjudy_dialog.txt,2006
108,walkingtall_dialog.txt,2004
109,cedarrapids_dialog.txt,2011
110,montecarlo_dialog.txt,1956
111,megamind_dialog.txt,2010
112,wonderboys_dialog.txt,2000
113,argo_dialog.txt,2012
114,fromheretoeternity_dialog.txt,1953
115,collateraldamage_dialog.txt,2002
116,raisingarizona_dialog.txt,1987
117,icestormthe_dialog.txt,1997
118,mariachiel_dialog.txt,1992
119,sleeplessinseattle_dialog.txt,1993
