date,rank,author,title
2018-08-04 00:00:00,1,Drake,In My Feelings
2018-08-04 00:00:00,2,"Cardi B, Bad Bunny & J Balvin",I Like It
2018-08-04 00:00:00,3,Maroon 5 Featuring Cardi B,Girls Like You
2018-08-04 00:00:00,4,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE
2018-08-04 00:00:00,5,Post Malone,Better Now
2018-08-04 00:00:00,6,Drake,Nice For What
2018-08-04 00:00:00,7,Ella Mai,Boo'd Up
2018-08-04 00:00:00,8,Juice WRLD,Lucid Dreams
2018-08-04 00:00:00,9,Post Malone Featuring Ty Dolla $ign,Psycho
2018-08-04 00:00:00,10,Tyga Featuring Offset,Taste
2018-08-04 00:00:00,11,Ariana Grande,No Tears Left To Cry
2018-08-04 00:00:00,12,Taylor Swift,Delicate
2018-08-04 00:00:00,13,Drake,God's Plan
2018-08-04 00:00:00,14,Lil Baby & Drake,Yes Indeed
2018-08-04 00:00:00,15,"Zedd, Maren Morris & Grey",The Middle
2018-08-04 00:00:00,16,Marshmello & Anne-Marie,Friends
2018-08-04 00:00:00,17,Ed Sheeran,Perfect
2018-08-04 00:00:00,18,Khalid & Normani,Love Lies
2018-08-04 00:00:00,19,XXXTENTACION,Sad!
2018-08-04 00:00:00,20,Bebe Rexha & Florida Georgia Line,Meant To Be
2018-08-04 00:00:00,21,Ariana Grande,God Is A Woman
2018-08-04 00:00:00,22,Bazzi,Mine
2018-08-04 00:00:00,23,Shawn Mendes,In My Blood
2018-08-04 00:00:00,24,Dan + Shay,Tequila
2018-08-04 00:00:00,25,5 Seconds Of Summer,Youngblood
2018-08-04 00:00:00,26,Selena Gomez,Back To You
2018-08-04 00:00:00,27,Calvin Harris & Dua Lipa,One Kiss
2018-08-04 00:00:00,28,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank
2018-08-04 00:00:00,29,Drake,Nonstop
2018-08-04 00:00:00,30,The Carters,Apes**t
2018-08-04 00:00:00,31,Lauv,I Like Me Better
2018-08-04 00:00:00,32,Camila Cabello,Never Be The Same
2018-08-04 00:00:00,33,Brett Young,Mercy
2018-08-04 00:00:00,34,Imagine Dragons,Whatever It Takes
2018-08-04 00:00:00,35,Kenny Chesney,Get Along
2018-08-04 00:00:00,36,Florida Georgia Line,Simple
2018-08-04 00:00:00,37,Imagine Dragons,Natural
2018-08-04 00:00:00,38,Drake,I'm Upset
